,Week,Date,Opponent,Result,Record,Venue,Recap,Unnamed: 7,Unnamed: 8,team,weather_condition,temp_f,time,city,state,year
0,1,September 11,at Tennessee Titans,W 21–20,1–0,Nissan Stadium,Recap,,,New York Giants,Cloudy,75,15:25,Nashville,Tennessee,2022
1,2,September 18,Carolina Panthers,W 19–16,2–0,MetLife Stadium,Recap,,,New York Giants,Fair,73,12:00,East Rutherford,New Jersey,2022
2,3,September 26,Dallas Cowboys,L 16–23,2–1,MetLife Stadium,Recap,,,New York Giants,Fair,66,19:15,East Rutherford,New Jersey,2022
3,4,October 2,Chicago Bears,W 20–12,3–1,MetLife Stadium,Recap,,,New York Giants,Overcast,58,12:00,East Rutherford,New Jersey,2022
4,5,October 9,at Green Bay Packers,W 27–22,4–1,Tottenham Hotspur Stadium (London),Recap,,,New York Giants,Sunny,64,13:30,London,England,2022
5,6,October 16,Baltimore Ravens,W 24–20,5–1,MetLife Stadium,Recap,,,New York Giants,Fair,60,12:00,East Rutherford,New Jersey,2022
6,7,October 23,at Jacksonville Jaguars,W 23–17,6–1,TIAA Bank Field,Recap,,,New York Giants,Sunny,71,12:00,Jacksonville,Florida,2022
7,8,October 30,at Seattle Seahawks,L 13–27,6–2,Lumen Field,Recap,,,New York Giants,Rain,54,15:25,Seattle,Washington,2022
8,9,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,New York Giants,,,,,,2022
9,10,November 13,Houston Texans,W 24–16,7–2,MetLife Stadium,Recap,,,New York Giants,Partly sunny,50,13:00,East Rutherford,New Jersey,2022
10,11,November 20,Detroit Lions,L 18–31,7–3,MetLife Stadium,Recap,,,New York Giants,Fair and breezy,35,13:00,East Rutherford,New Jersey,2022
11,12,November 24,at Dallas Cowboys,L 20–28,7–4,AT&T Stadium,Recap,,,New York Giants,None (retractable roof closed),72,16:30,Arlington,Texas,2022
12,13,December 4,Washington Commanders,T 20–20 (OT),7–4–1,MetLife Stadium,Recap,,,New York Giants,Fair,44,13:00,East Rutherford,New Jersey,2022
13,14,December 11,Philadelphia Eagles,L 22–48,7–5–1,MetLife Stadium,Recap,,,New York Giants,Overcast,37,13:00,East Rutherford,New Jersey,2022
14,15,December 18,at Washington Commanders,W 20–12,8–5–1,FedEx Field,Recap,,,New York Giants,Cloudy,34,20:20,Landover,Maryland,2022
15,16,December 24,at Minnesota Vikings,L 24–27,8–6–1,U.S. Bank Stadium,Recap,,,New York Giants,None (indoor stadium),72,13:00,Minneapolis,Minnesota,2022
16,17,January 1,Indianapolis Colts,W 38–10,9–6–1,MetLife Stadium,Recap,,,New York Giants,Fair,53,13:00,East Rutherford,New Jersey,2022
17,18,January 8,at Philadelphia Eagles,L 16–22,9–7–1,Lincoln Financial Field,Recap,,,New York Giants,Partly cloudy,42,16:25,Philadelphia,Pennsylvania,2022
