,Venues
0,AT&T Stadium
1,Acrisure Stadium
2,Allegiant Stadium
3,Allianz Arena (Munich)
4,Arrowhead Stadium
5,Bank of America Stadium
6,Caesars Superdome
7,Empower Field at Mile High
8,FedExField
9,FirstEnergy Stadium
10,Ford Field
11,Gillette Stadium
12,Hard Rock Stadium
13,Highmark Stadium
14,Lambeau Field
15,Lincoln Financial Field
16,Lucas Oil Stadium
17,Lumen Field
18,M&T Bank Stadium
19,Mercedes-Benz Stadium
20,MetLife Stadium
21,NRG Stadium
22,Nissan Stadium
23,Paycor Stadium
24,Raymond James Stadium
25,SoFi Stadium
26,Soldier Field
27,State Farm Stadium
28,TIAA Bank Field
29,Tottenham Hotspur Stadium (London)
30,U.S. Bank Stadium
31,Wembley Stadium (London)
